Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
symphony,org.b3log.symphony.event,ArticleAddNotifier,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
symphony,org.b3log.symphony.event,ArticleUpdateNotifier,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
symphony,org.b3log.symphony.event,CommentNotifier,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 26
symphony,org.b3log.symphony.event,CommentUpdateNotifier,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
symphony,org.b3log.symphony.model.sitemap,Sitemap.URL,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
symphony,org.b3log.symphony.processor,ActivityProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
symphony,org.b3log.symphony.processor,AdminProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 50
symphony,org.b3log.symphony.processor,ArticleProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 47
symphony,org.b3log.symphony.processor,BreezemoonProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
symphony,org.b3log.symphony.processor,ChatroomProcessor,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: messages (69)
symphony,org.b3log.symphony.processor,ChatroomProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
symphony,org.b3log.symphony.processor,CityProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
symphony,org.b3log.symphony.processor,CommentProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 25
symphony,org.b3log.symphony.processor,DomainProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
symphony,org.b3log.symphony.processor,ErrorProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
symphony,org.b3log.symphony.processor,FeedProcessor,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.b3log.symphony.model.feed.RSSCategory; org.b3log.symphony.model.feed.RSSItem; org.b3log.symphony.model.feed.RSSChannel
symphony,org.b3log.symphony.processor,FeedProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
symphony,org.b3log.symphony.processor,FileUploadProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
symphony,org.b3log.symphony.processor,FollowProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
symphony,org.b3log.symphony.processor,ForwardProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
symphony,org.b3log.symphony.processor,IndexProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
symphony,org.b3log.symphony.processor,LoginProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 30
symphony,org.b3log.symphony.processor,NotificationProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
symphony,org.b3log.symphony.processor,Router,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 32
symphony,org.b3log.symphony.processor,SearchProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
symphony,org.b3log.symphony.processor,SettingsProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 35
symphony,org.b3log.symphony.processor,SitemapProcessor,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.b3log.symphony.model.sitemap.Sitemap
symphony,org.b3log.symphony.processor,StatisticProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
symphony,org.b3log.symphony.processor,TagProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
symphony,org.b3log.symphony.processor,TopProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
symphony,org.b3log.symphony.processor,UserProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 32
symphony,org.b3log.symphony.processor,VoteProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
symphony,org.b3log.symphony.processor.channel,ArticleChannel,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
symphony,org.b3log.symphony.processor.middleware,AnonymousViewCheckMidware,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
symphony,org.b3log.symphony.processor.middleware.validate,ArticlePostValidationMidware,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
symphony,org.b3log.symphony.processor.middleware.validate,UserRegisterValidationMidware,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
symphony,org.b3log.symphony.repository,CommentRepository,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
symphony,org.b3log.symphony,Server,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
symphony,org.b3log.symphony.service,ActivityMgmtService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
symphony,org.b3log.symphony.service,ArticleMgmtService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 43
symphony,org.b3log.symphony.service,ArticleQueryService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 31
symphony,org.b3log.symphony.service,BreezemoonQueryService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
symphony,org.b3log.symphony.service,CacheMgmtService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
symphony,org.b3log.symphony.service,CommentMgmtService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 29
symphony,org.b3log.symphony.service,CommentQueryService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
symphony,org.b3log.symphony.service,CommentQueryService.commentInfo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
symphony,org.b3log.symphony.service,CronMgmtService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
symphony,org.b3log.symphony.service,DataModelService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 27
symphony,org.b3log.symphony.service,InitMgmtService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
symphony,org.b3log.symphony.service,MailMgmtService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
symphony,org.b3log.symphony.service,NotificationQueryService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 21
symphony,org.b3log.symphony.service,PointtransferQueryService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
symphony,org.b3log.symphony.service,PostExportService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
symphony,org.b3log.symphony.service,ReportQueryService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
symphony,org.b3log.symphony.service,RevisionQueryService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
symphony,org.b3log.symphony.service,TagMgmtService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
symphony,org.b3log.symphony.service,TagQueryService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
symphony,org.b3log.symphony.service,UserMgmtService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 26
symphony,org.b3log.symphony.service,UserQueryService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
symphony,org.b3log.symphony.service,VoteMgmtService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
symphony,org.b3log.symphony.util,Markdowns,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LUTE_AVAILABLE (111)
symphony,org.b3log.symphony.util,Symphonys,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: UPLOAD_LOCAL_DIR (327)
